,text,time,location,source,like_count,quote_count,reply_count,retweet_count,lang,split_text
71,use soap make switch soap hand made soap flipper dolphin watermelon goat milk,2022-05-02,USA,Twitter Web App,0,1,0,0,en,use soap make switch soap hand made soap flipper dolphin watermelon goat milk
72,buy,2022-05-02,So Cal,Twitter for iPhone,0,0,0,0,en,buy
74,organ make switch soap hand made soap flipper dolphin watermelon goat milk alo vera,2022-05-02,,inskatestapp,0,0,0,0,en,organ make switch soap hand made soap flipper dolphin watermelon goat milk alo vera
75,organ make switch soap hand made soap flipper dolphin watermelon goat milk alo vera,2022-05-02,USA,LinkedIn,2,0,0,1,en,organ make switch soap hand made soap flipper dolphin watermelon goat milk alo vera
76,organ make switch soap hand made soap flipper dolphin watermelon goat milk alo vera,2022-05-02,USA,Twitter Web App,2,0,0,0,en,organ make switch soap hand made soap flipper dolphin watermelon goat milk alo vera
77,havent shouldnt get get medic attent crowd late,2022-05-02,,Twitter for Android,0,0,0,0,en,havent shouldnt get get medic attent crowd late
78,make switch soap hand made soap flipper dolphin watermelon goat milk alo vera,2022-05-02,USA,LinkedIn,0,0,0,0,en,make switch soap hand made soap flipper dolphin watermelon goat milk alo vera
79,make switch soap hand made soap flipper dolphin watermelon goat milk alo vera,2022-05-02,USA,Twitter Web App,0,0,0,0,en,make switch soap hand made soap flipper dolphin watermelon goat milk alo vera
80,say not right musk option,2022-05-02,"Dallas, TX",TweetDeck,6,0,0,1,en,say not right musk option
81,good make switch soap hand made soap flipper dolphin watermelon goat milk alo vera,2022-05-02,USA,Twitter Web App,0,0,0,0,en,good make switch soap hand made soap flipper dolphin watermelon goat milk alo vera
82,crew make switch soap hand made soap flipper dolphin watermelon goat milk alo,2022-05-02,USA,Twitter Web App,2,1,0,0,en,crew make switch soap hand made soap flipper dolphin watermelon goat milk alo
83,work vanguard simp call groomer groom,2022-05-02,Say Ya! to da U.P. eh?,Twitter for iPhone,0,0,0,0,en,work vanguard simp call groomer groom
88,send gay,2022-05-02,,Twitter for Android,0,0,0,0,en,send gay
89,ai algorithm trade better human said market,2022-05-02,,Twitter Web App,0,0,0,0,en,ai algorithm trade better human said market
90,close trade win rate profit factor net profit stock trade idea,2022-05-02,,Zapier.com,0,0,0,0,en,close trade win rate profit factor net profit stock trade idea
91,doomsday,2022-05-02,🏪Blockchain City,Twitter for Android,0,0,0,0,en,doomsday
94,one,2022-05-02,third planet,Twitter for iPhone,0,0,0,0,en,one
95,mention last day via,2022-05-02,,topstonks,0,0,0,0,en,mention last day via
96,,2022-05-02,GlenGilmore@GlenGilmore.com,Twitter for iPhone,9,0,2,0,en,
97,sat cool,2022-05-02,,Twitter for iPhone,0,0,0,0,en,sat cool
99,work way top mention last day via,2022-05-02,,topstonks,0,0,0,0,en,work way top mention last day via
101,buy help buy leftist,2022-05-02,,Twitter for Android,2,0,0,0,en,buy help buy leftist
102,see sustain chatter last day via,2022-05-02,,topstonks,0,0,0,0,en,see sustain chatter last day via
103,blue great avail,2022-05-02,GREEN MOUNTAINS,Twitter Web App,0,0,0,0,en,blue great avail
104,,2022-05-03,USA,Twitter Web App,2,0,0,0,en,
105,,2022-05-03,USA,Twitter Web App,2,0,1,1,en,
107,sold share common stock worth transact,2022-05-03,,Insider_Transactions,0,0,0,0,en,sold share common stock worth transact
111,express concern limit ever pay dor,2022-05-03,,Twitter Web App,0,0,0,0,en,express concern limit ever pay dor
112,express concern limit ever pay,2022-05-03,Canada,Twitter Web App,0,0,0,2,en,express concern limit ever pay
117,support board pursuit nation,2022-05-03,Canada,Twitter Web App,1,0,0,5,en,support board pursuit nation
119,that,2022-05-03,"N. Wales, UK",Twitter for Android,3,0,0,0,en,that
120,game never money watch wi,2022-05-03,,Twitter Web App,5,0,4,1,en,game never money watch wi
121,lot right hate read full twit follow get,2022-05-03,,Twitter Web App,0,0,0,0,en,lot right hate read full twit follow get
122,he investor bail musk hell,2022-05-03,,Twitter Web App,3,0,0,0,en,he investor bail musk hell
123,scroll feed market trade data exhaust there,2022-05-03,,Twitter for Android,0,0,0,0,en,scroll feed market trade data exhaust there
124,call,2022-05-03,"Texas, USA",Twitter for iPhone,0,0,0,0,en,call
125,almost hit shill tweet never tweet join back,2022-05-03,,Twitter for Android,5,0,0,0,en,almost hit shill tweet never tweet join back
126,accept fact goddess,2022-05-03,"Virginia, USA",Twitter for iPhone,0,0,0,0,en,accept fact goddess
127,let account stuff,2022-05-03,Loading...,Twitter for Android,4,0,0,0,en,let account stuff
128,well without depart,2022-05-03,"Washington, USA",Twitter Web App,0,0,0,0,en,well without depart
129,montana first get money get power market,2022-05-03,,Twitter for iPhone,0,0,0,0,en,montana first get money get power market
130,violet crawley abbey via,2022-05-03,USA,Twitter Web App,0,0,1,0,en,violet crawley abbey via
134,patent without miss,2022-05-03,upstate NY,Twitter for iPhone,0,0,1,0,en,patent without miss
135,might fail account pole screen post unless,2022-05-03,,Twitter for iPhone,11,0,0,0,en,might fail account pole screen post unless
138,go short buy,2022-05-03,,Twitter for iPhone,0,0,1,0,en,go short buy
139,hey omit last tweet button need see omit,2022-05-03,Metaverse,Twitter for Android,0,0,1,0,en,hey omit last tweet button need see omit
140,,2022-05-03,,Twitter for iPhone,0,0,0,0,en,
141,stock option trade made exit signal profit join gold trade,2022-05-03,,IFTTT,0,0,0,0,en,stock option trade made exit signal profit join gold trade
142,let jump new,2022-05-03,Hong Kong,Twitter for Android,0,0,0,0,en,let jump new
143,day soap hand made soap watermelon goat milk alo vera get b,2022-05-03,USA,Twitter Web App,1,0,0,0,en,day soap hand made soap watermelon goat milk alo vera get b
144,hey better job distinguish legit law,2022-05-03,"Washington, DC",Twitter Web App,0,0,0,0,en,hey better job distinguish legit law
145,refer price year predict,2022-05-03,,StockProphecy,0,0,0,0,en,refer price year predict
146,cannot stump man great human know know,2022-05-03,United States,Twitter Web App,0,0,0,0,en,cannot stump man great human know know
147,check,2022-05-03,CO + CA,Twitter Web App,0,0,0,0,en,check
148,meta platform class enter call strike limit buy exit,2022-05-03,"New York, NY",Zapier.com,0,0,0,0,en,meta platform class enter call strike limit buy exit
150,,2022-05-03,,Twitter for iPhone,1,0,0,0,en,
151,got cheer leader ape tho,2022-05-03,"California, USA",Twitter for iPhone,6,0,0,0,en,got cheer leader ape tho
152,may happen less musk cash line,2022-05-03,"New York, NY",proactive_NA,0,0,0,0,en,may happen less musk cash line
153,complex,2022-05-03,"N. Wales, UK",Twitter for Android,0,0,0,0,en,complex
154,beauti woman wont save bearish speech,2022-05-03,🏪Blockchain City,Twitter for Android,0,0,0,0,en,beauti woman wont save bearish speech
155,clip via news,2022-05-03,DeCenterized Tokyo🗼⇄NY🗽,Twitter for iPhone,0,0,1,0,en,clip via news
156,work way top mention last day via,2022-05-03,,topstonks,0,0,0,0,en,work way top mention last day via
157,gain prefer,2022-05-03,,Twitter Web App,0,0,0,0,en,gain prefer
158,way account risk system wit,2022-05-03,,Twitter for Android,2,1,0,0,en,way account risk system wit
159,mention last day via,2022-05-03,,topstonks,0,0,0,0,en,mention last day via
160,wore dress claim who soap hand made soap,2022-05-03,USA,Twitter Web App,0,0,0,0,en,wore dress claim who soap hand made soap
161,,2022-05-03,"Tuna, Puerto Rico",Twitter for Android,0,0,0,0,en,
163,relief open tech stock lead gain deal,2022-05-03,London,Twitter for Android,0,0,0,0,en,relief open tech stock lead gain deal
164,net worth hand man,2022-05-03,Jakarta Capital Region,Twitter for iPhone,5,0,1,0,en,net worth hand man
165,wont plan leak audio hand meet,2022-05-03,,Twitter Web App,2,0,0,0,en,wont plan leak audio hand meet
166,organ make switch soap hand made soap flipper dolphin watermelon goat milk alo vera,2022-05-03,USA,Twitter Web App,0,1,1,0,en,organ make switch soap hand made soap flipper dolphin watermelon goat milk alo vera
168,job full via go invest fraud,2022-05-03,upstate NY,Twitter for iPhone,0,0,0,0,en,job full via go invest fraud
169,short term drop bullish ride,2022-05-03,PH,Twitter Web App,0,0,0,0,en,short term drop bullish ride
170,billion fund buy take offer,2022-05-03,online,Twitter Web App,0,0,0,0,en,billion fund buy take offer
171,clip via algorithm,2022-05-03,DeCenterized Tokyo🗼⇄NY🗽,Twitter for iPhone,0,0,1,0,en,clip via algorithm
173,mention last day via,2022-05-03,,topstonks,0,0,0,0,en,mention last day via
174,expect less point puppet master work,2022-05-04,Texas,Twitter Web App,0,0,0,0,en,expect less point puppet master work
180,call tend like platform die year,2022-05-04,Loading...,Twitter for Android,1,0,0,0,en,call tend like platform die year
181,nice today u miss u alway top,2022-05-04,Long Island / New York,Twitter for iPhone,0,0,0,0,en,nice today u miss u alway top
189,keep new thing call buy,2022-05-04,$AMC ,Twitter for iPhone,0,0,0,0,en,keep new thing call buy
190,like plan picnic next year friend met yet fed,2022-05-04,upstate NY,Twitter for iPhone,0,0,0,0,en,like plan picnic next year friend met yet fed
192,stay patient caught spike scalp done day,2022-05-04,Detroit,Twitter for iPhone,0,0,0,0,en,stay patient caught spike scalp done day
193,see move time automat ask,2022-05-04,United Kingdom,Twitter for iPhone,0,0,0,0,en,see move time automat ask
194,see move time automat ask,2022-05-04,,Twitter for iPhone,21,0,1,7,en,see move time automat ask
198,fed want want,2022-05-04,upstate NY,Twitter for iPhone,0,0,0,0,en,fed want want
199,interest inform stock check tab page,2022-05-04,,Hootsuite Inc.,0,0,0,0,en,interest inform stock check tab page
200,soap hand made soap get wash,2022-05-04,USA,Twitter Web App,1,0,0,0,en,soap hand made soap get wash
201,hand made soap get wash,2022-05-04,USA,Twitter Web App,2,0,1,0,en,hand made soap get wash
202,time buy stock deal like close stock stand still not affect market mo,2022-05-04,,Twitter for iPhone,1,0,1,0,en,time buy stock deal like close stock stand still not affect market mo
205,adopt public benefit trust,2022-05-04,,Datamine #1,0,0,0,0,en,adopt public benefit trust
206,adopt public benefit trust,2022-05-04,"Dallas, TX",TweetDeck,7,0,0,3,en,adopt public benefit trust
208,day soap stern,2022-05-04,USA,Twitter Web App,3,0,3,1,en,day soap stern
209,give free fail take lost,2022-05-04,glorious northyorks,Twitter Web App,1,0,0,0,en,give free fail take lost
210,go use f word,2022-05-04,California res./Arizona dom.,Twitter Web App,0,0,1,0,en,go use f word
211,keep new thing call buy,2022-05-04,$AMC ,Twitter for iPhone,5,0,0,1,en,keep new thing call buy
212,kiss free speech came plan new,2022-05-04,"Darkside, Moon ",Twitter Web App,0,0,0,0,en,kiss free speech came plan new
213,day life wake dread thought read long list job reject,2022-05-04,New York,Twitter for Android,1,0,0,0,en,day life wake dread thought read long list job reject
217,keep new thing call buy,2022-05-04,$AMC ,Twitter for iPhone,0,0,0,0,en,keep new thing call buy
218,week watch,2022-05-04,,Wall Street Mooners,0,0,0,0,en,week watch
220,trade base tweet sentiment last year,2022-05-04,"London, England",Twitter for iPhone,2,0,0,0,en,trade base tweet sentiment last year
221,recap trade,2022-05-04,,Twitter for iPhone,0,0,0,0,en,recap trade
222,tusk back billion,2022-05-04,Earth for now,Twitter Web App,0,0,0,0,en,tusk back billion
224,know come,2022-05-04,Las Vegas🇺🇸Philippines🇵🇭,Twitter Web App,0,0,0,0,en,know come
226,know come,2022-05-04,Las Vegas🇺🇸Philippines🇵🇭,Twitter Web App,0,0,0,0,en,know come
227,know come,2022-05-04,Las Vegas🇺🇸Philippines🇵🇭,Twitter Web App,3,0,0,3,en,know come
228,know come,2022-05-04,Las Vegas🇺🇸Philippines🇵🇭,Twitter Web App,0,0,0,0,en,know come
229,win,2022-05-04,,Twitter for iPhone,0,0,0,0,en,win
230,know come,2022-05-04,Las Vegas🇺🇸Philippines🇵🇭,Twitter Web App,0,0,0,0,en,know come
231,know come,2022-05-04,Las Vegas🇺🇸Philippines🇵🇭,Twitter Web App,1,0,0,1,en,know come
232,hey hot idea go make worth extra billion trillion,2022-05-04,"Los Angeles, CA",Twitter for iPhone,2,0,1,2,en,hey hot idea go make worth extra billion trillion
233,happen sold buy oh need money,2022-05-04,,Twitter Web App,2,0,1,0,en,happen sold buy oh need money
236,casual user stock price,2022-05-04,DEP. on my VPN (IRäN) ,Twitter Web App,1,0,1,0,en,casual user stock price
237,game never money watch,2022-05-04,"Asturias, de momento",Twitter Web App,0,0,0,0,en,game never money watch
238,watch afternoon park,2022-05-04,USA,Twitter Web App,1,0,1,0,en,watch afternoon park
240,soap hand made soap watermelon goat milk alo vera get wash,2022-05-04,USA,Twitter Web App,2,1,0,0,en,soap hand made soap watermelon goat milk alo vera get wash
242,like weed audio made shower love,2022-05-04,upstate NY,Twitter for iPhone,1,0,0,0,en,like weed audio made shower love
243,soap hand made soap watermelon goat milk alo vera get wash,2022-05-04,USA,Twitter Web App,2,1,0,0,en,soap hand made soap watermelon goat milk alo vera get wash
244,soap hand made soap watermelon goat milk alo vera get wash,2022-05-04,USA,Twitter Web App,2,0,2,0,en,soap hand made soap watermelon goat milk alo vera get wash
246,soap hand made soap watermelon goat milk alo vera get wash,2022-05-04,USA,Twitter Web App,0,0,0,0,en,soap hand made soap watermelon goat milk alo vera get wash
248,hold gain today us rate expect earn boo,2022-05-04,London,Twitter for Android,0,0,0,0,en,hold gain today us rate expect earn boo
249,hold gain today us rate expect earn b,2022-05-04,London,Twitter Web App,6,0,0,4,en,hold gain today us rate expect earn b
250,soap hand made soap watermelon goat milk alo vera get wash,2022-05-04,USA,LinkedIn,2,0,0,0,en,soap hand made soap watermelon goat milk alo vera get wash
251,soap hand made soap watermelon goat milk alo vera get wash,2022-05-04,USA,Twitter Web App,3,0,0,0,en,soap hand made soap watermelon goat milk alo vera get wash
252,soap hand made soap watermelon goat milk alo vera get wash,2022-05-04,USA,LinkedIn,1,0,0,0,en,soap hand made soap watermelon goat milk alo vera get wash
253,soap hand made soap watermelon goat milk alo vera get wash,2022-05-04,USA,Twitter Web App,2,1,1,0,en,soap hand made soap watermelon goat milk alo vera get wash
255,got share know odd could roll,2022-05-04,"Lima, Peru",Twitter for iPhone,2,0,0,0,en,got share know odd could roll
256,clip via news,2022-05-04,DeCenterized Tokyo🗼⇄NY🗽,Twitter for iPhone,0,0,1,0,en,clip via news
260,kiss free speech came plan new,2022-05-04,"Darkside, Moon ",Twitter for iPhone,1,0,0,1,en,kiss free speech came plan new
261,current hold one tech stock seem hold call come,2022-05-05,London,Twitter Web App,0,0,0,0,en,current hold one tech stock seem hold call come
264,tri alway hidden agenda,2022-05-05,Cape Town,Twitter Web App,1,0,0,0,en,tri alway hidden agenda
266,check buck nice tax write,2022-05-05,,Twitter Web App,1,0,0,0,en,check buck nice tax write
267,brain melt via act,2022-05-05,upstate NY,Twitter for iPhone,0,0,0,0,en,brain melt via act
268,liquid stop fall first sudd,2022-05-05,Global Citizen,Twitter for Android,2,0,0,0,en,liquid stop fall first sudd
269,effect,2022-05-05,,Twitter for Android,0,0,0,0,en,effect
270,stop fall drastic chang,2022-05-05,Global Citizen,Twitter for Android,0,0,0,0,en,stop fall drastic chang
271,plan invest million interest,2022-05-05,"Darkside, Moon ",Twitter for iPhone,0,0,0,0,en,plan invest million interest
272,market past two year ratio fed buy knock ratio al,2022-05-05,,Twitter for iPad,0,0,0,0,en,market past two year ratio fed buy knock ratio al
273,took year crap year year,2022-05-05,Loading...,Twitter for Android,4,0,1,0,en,took year crap year year
275,bought sold morn saw overnight jump,2022-05-05,,Twitter Web App,0,0,0,0,en,bought sold morn saw overnight jump
276,see sustain chatter last day via,2022-05-05,,topstonks,0,0,0,0,en,see sustain chatter last day via
278,blood street buy,2022-05-05,"earth, sea and twitters",Twitter for iPhone,0,0,0,0,en,blood street buy
279,buy soap hand made soap munch scream watermelon goat milk alo vera,2022-05-05,,Ofertas ok,0,0,0,0,en,buy soap hand made soap munch scream watermelon goat milk alo vera
280,buy soap hand made soap munch scream watermelon goat milk alo vera,2022-05-05,USA,Twitter Web App,3,0,0,2,en,buy soap hand made soap munch scream watermelon goat milk alo vera
282,seem like major news media print scare,2022-05-05,,Twitter for iPhone,0,0,0,0,en,seem like major news media print scare
283,commit support buy twitter,2022-05-05,New York,Amplifr,1,0,0,0,en,commit support buy twitter
284,warren say suscept whim hand part,2022-05-05,,Twitter for iPhone,0,0,0,0,en,warren say suscept whim hand part
285,colin fad platform use never play one day w,2022-05-05,,Twitter for iPhone,0,0,0,0,en,colin fad platform use never play one day w
286,scan runner high rel,2022-05-05,Plans $0.84 a day :)  👉,IFTTT,1,0,0,0,en,scan runner high rel
287,scan runner high rel,2022-05-05,,Twitter Web App,0,0,0,0,en,scan runner high rel
288,lie wont get your bot need go,2022-05-05,"Venice, CA",Twitter Web App,2,0,0,0,en,lie wont get your bot need go
289,serious roll hold current stock ownership new,2022-05-05,"Toronto, Ontario",Twitter for iPhone,0,0,0,0,en,serious roll hold current stock ownership new
290,buy major stake way highway express,2022-05-05,,Twitter Web App,0,0,0,0,en,buy major stake way highway express
291,gold oil green,2022-05-05,"Punta Hermosa, Peru",Twitter for iPhone,0,0,0,0,en,gold oil green
293,better tweet public inform time start list th,2022-05-05,upstate NY,Twitter for iPhone,0,0,0,0,en,better tweet public inform time start list th
294,might swing p,2022-05-05,0 Dark 30,Twitter for iPhone,1,0,0,0,en,might swing p
295,move much today market,2022-05-05,"Dallas, TX",Twitter for iPhone,0,0,0,1,en,move much today market
298,hand made soap artisan heart alo vera lemon shea butter flower,2022-05-05,USA,Twitter Web App,0,0,0,0,en,hand made soap artisan heart alo vera lemon shea butter flower
299,said sell stock investor,2022-05-05,"California, USA",Twitter for Android,2,0,0,0,en,said sell stock investor
300,lithium,2022-05-05,California res./Arizona dom.,Twitter Web App,0,0,1,0,en,lithium
301,news money,2022-05-05,"Vancouver, British Columbia",Twitter Web App,1,0,0,0,en,news money
303,green,2022-05-05,"Maharashtra, India",Twitter for Android,0,0,0,0,en,green
305,organ hand made soap doctor watermelon goat milk alo vera flower get wa,2022-05-05,,inskatestapp,0,0,0,0,en,organ hand made soap doctor watermelon goat milk alo vera flower get wa
306,organ hand made soap doctor watermelon goat milk alo vera flower get,2022-05-05,USA,LinkedIn,0,0,0,2,en,organ hand made soap doctor watermelon goat milk alo vera flower get
307,organ hand made soap doctor watermelon goat milk alo vera flower get,2022-05-05,USA,Twitter Web App,0,1,1,2,en,organ hand made soap doctor watermelon goat milk alo vera flower get
309,yet,2022-05-05,"Virginia, USA",Twitter Web App,0,0,1,0,en,yet
311,commit million buy ex doll million c,2022-05-05,,Twitter for Android,0,0,0,0,en,commit million buy ex doll million c
312,join buy fourth,2022-05-05,"Mumbai, India",Twitter for Android,0,0,0,0,en,join buy fourth
313,commit million buy ex doll million vent,2022-05-05,Nigeria,Twitter for iPhone,4,0,0,2,en,commit million buy ex doll million vent
314,need buy whole,2022-05-05,,Twitter for Android,0,0,0,0,en,need buy whole
315,mean expect start trend,2022-05-05,Omni,Twitter for Android,1,0,0,0,en,mean expect start trend
316,,2022-05-05,upstate NY,Twitter for iPhone,0,0,0,0,en,
318,hi read way rais billion ta,2022-05-05,,Twitter for iPhone,0,0,0,0,en,hi read way rais billion ta
319,hi read way rais billion ta,2022-05-05,,Twitter for iPhone,0,0,0,0,en,hi read way rais billion ta
320,hi read way rais billion ta,2022-05-05,,Twitter for iPhone,0,0,0,0,en,hi read way rais billion ta
321,hi read way rais bill,2022-05-05,,Twitter for iPhone,0,0,0,1,en,hi read way rais bill
322,less cash drain investor back hard cash,2022-05-05,"New York, NY",proactive_NA,0,0,0,0,en,less cash drain investor back hard cash
323,join buy fourth,2022-05-05,India,TweetDeck,19,0,0,2,en,join buy fourth
327,one owner,2022-05-05,,Twitter for iPhone,1,0,0,1,en,one owner
329,truth ring bell form day,2022-05-05,,Twitter Web App,0,0,0,0,en,truth ring bell form day
330,nice rich mate,2022-05-05,Self-immolating,Twitter Web App,0,0,0,0,en,nice rich mate
331,share gain preopen trade commit dozen invest,2022-05-05,🌐,Twitter Web App,1,0,0,0,en,share gain preopen trade commit dozen invest
332,stock rise,2022-05-05,Armpit of America ,Twitter for iPhone,1,0,0,0,en,stock rise
333,,2022-05-05,"Ridgefield, CT",Twitter Web App,1,0,0,0,en,
334,plan invest million interest,2022-05-05,"Darkside, Moon ",Twitter for iPhone,1,1,1,1,en,plan invest million interest
335,great week know time life watch wait,2022-05-05,"Ramona, CA",Twitter Web App,0,0,0,0,en,great week know time life watch wait
336,great w not,2022-05-05,ShANGHAI,Twitter Web App,0,0,1,0,en,great w not
339,enter call strike limit buy exit limit,2022-05-05,"New York, NY",Zapier.com,0,0,0,0,en,enter call strike limit buy exit limit
342,reach point soon open spike today,2022-05-05,"Denver, CO",Twitter for Android,1,0,0,0,en,reach point soon open spike today
343,say add w bid see past tweet reason well,2022-05-05,NY/NJ/FL USA,Twitter for iPhone,1,0,0,1,en,say add w bid see past tweet reason well
346,cool follow,2022-05-05,,Twitter Web App,1,0,7,0,en,cool follow
347,hi read way rais billion ta,2022-05-05,,Twitter for iPhone,0,0,0,0,en,hi read way rais billion ta
349,day huge bet show world deal made,2022-05-05,"Boynton Beach, FL",Twitter for iPhone,0,0,0,0,en,day huge bet show world deal made
350,backer,2022-05-05,,Twitter Web App,0,0,0,0,en,backer
351,trade market,2022-05-05,,Twitter for iPhone,0,0,0,0,en,trade market
353,smart move invest,2022-05-05,"Lima, Peru",Twitter for iPhone,4,0,6,0,en,smart move invest
354,not much resist play reject trigger fail,2022-05-05,,Twitter for iPhone,0,0,0,0,en,not much resist play reject trigger fail
355,commit million firm commit million,2022-05-05,,Twitter for iPhone,1,0,0,0,en,commit million firm commit million
